Country Code,Region,corr_Y_C,corr_Y_I,corr_Y_TB,corr_C_I,corr_C_TB,corr_I_TB
ARG,Latin America & Caribbean,0.8850296984574622,0.870251927181801,-0.7500399398320168,0.8109536088685227,-0.8969020311282067,-0.6873365896071311
BDI,Sub-Saharan Africa,0.7761960184878706,0.20414014496841196,-0.1755514933544942,0.013314664700888117,-0.5659906905340267,-0.3936829883227833
BEN,Sub-Saharan Africa,0.6220871034707254,0.14525148944753893,-0.09165360989973732,-0.19600524117387103,-0.5172034334046097,-0.4462220058409285
BFA,Sub-Saharan Africa,0.5526111840173945,0.11116073535606265,-0.2699823824066139,-0.5570749255763511,-0.347321181885554,-0.2956819410657757
BRA,Latin America & Caribbean,0.5215436223438812,0.7966952284493387,-0.4894534961503714,0.17762914016662543,-0.40073284786201835,-0.4293278026060381
BWA,Sub-Saharan Africa,0.3185861239293504,0.39787907374799464,0.2537224192222597,0.36725799681261323,-0.4876773584765086,-0.6197017964620014
CAF,Sub-Saharan Africa,0.8447189998028904,0.4719413607806255,0.1616938313886744,0.1977372671575547,-0.0749231611396491,-0.2703511777830005
CHL,Latin America & Caribbean,0.8170682297206421,0.6435633144172277,-0.46201333626216606,0.2557721405314884,-0.6818959485884402,-0.4029016666380034
CIV,Sub-Saharan Africa,0.5709983376037736,0.6291802937094066,-0.27683802022220866,0.1934952269594134,-0.8126002364599607,-0.35283790244301777
CMR,Sub-Saharan Africa,0.8349008100201568,0.7447069923658609,-0.2075001467466475,0.48286236623297146,-0.5167704655905042,-0.3819056306137536
COG,Sub-Saharan Africa,0.07140038148006483,0.4844330131507135,0.046985320924040154,0.20650004521141288,-0.5971435779443899,-0.6535686876486835
COL,Latin America & Caribbean,0.7010456095198757,0.6940201874179596,-0.279879677099076,0.6322784276438638,-0.6957319875229766,-0.6589766992187273
COM,Sub-Saharan Africa,0.9477505854704749,0.574086240117581,-0.24125526942273637,0.5504157375664646,-0.4794569109661233,-0.586151659487139
GAB,Sub-Saharan Africa,0.010526253560130304,0.8413769619743571,-0.2287148420547997,0.1019725014872869,-0.6361539501267337,-0.6162020945465516
GHA,Sub-Saharan Africa,0.6310001942894489,0.19745925960669303,-0.12692447281905955,-0.6212174124655387,-0.3192586624393391,-0.2580897197761821
GIN,Sub-Saharan Africa,-0.056650193716862376,-0.06953358781977051,0.31322680084863985,0.46042786215142295,-0.5626371430838423,-0.8269350884379488
GMB,Sub-Saharan Africa,0.3782355616624113,0.3385965458144992,-0.045010326944260465,-0.08676985449869849,-0.18748246385506037,-0.39852094297735585
GNB,Sub-Saharan Africa,0.5875167538174522,0.16644900825243136,-0.17881324619058955,0.052579403839746665,-0.5886497801895728,-0.6445877102792616
HKG,East Asia & Pacific,0.6329340469328343,0.7265246101208915,-0.21901936033286581,0.3515268885448883,-0.45539002359243713,-0.6835100754093418
IDN,East Asia & Pacific,0.40239760117237033,0.5255183168982719,-0.26992040091741765,-0.12783632253738095,-0.5620299725343342,-0.05047406461051104
KEN,Sub-Saharan Africa,0.738138188973325,0.43171169398213916,-0.31342525114754516,0.06658805668160638,-0.5804343965757492,-0.41706299293716625
KOR,East Asia & Pacific,0.6110373944309806,0.606758428184898,-0.1386091531225848,0.3300870937475784,-0.5550459219236232,-0.6270937602763611
MDG,Sub-Saharan Africa,-0.0062060945232561854,0.4642860804466838,-0.2744998094192668,-0.7247369608439842,-0.06264511094665746,-0.4315209458820944
MEX,Latin America & Caribbean,0.7368711473567974,0.7309893155161445,-0.3556406823254656,0.7606818970016718,-0.7797300920809924,-0.7335744024758458
MLI,Sub-Saharan Africa,-0.11680597804427467,0.2799101897318434,0.33297329774272416,-0.22895059604072987,-0.3380484878652656,0.02270261033381215
MRT,Sub-Saharan Africa,0.23332677562622486,0.03572821221615266,0.40838003343666207,-0.3821651568054671,-0.19540031181154968,-0.47568988542626733
MUS,Sub-Saharan Africa,0.31614309410222546,0.6432665316708924,-0.11274008016970498,0.49350580613645345,-0.7642929553507682,-0.6060748692628192
MYS,East Asia & Pacific,0.7012404835308796,0.8404330223796118,-0.5575035396362227,0.7645994287351472,-0.8922275049087496,-0.8257080514712141
NAM,Sub-Saharan Africa,0.33060519701466495,0.33480013083883703,-0.20362715634257328,0.0583315656634291,-0.7449969582894548,-0.559635300111352
NER,Sub-Saharan Africa,0.6247483875174619,0.5821901500216184,0.08392461670539027,0.04106563770762586,-0.20723284549432772,-0.30663762803933714
PER,Latin America & Caribbean,0.6291583085618073,0.7860961696657457,-0.46277838056136206,0.2580703504519511,-0.6905486899180909,-0.5363741704736589
PHL,East Asia & Pacific,0.6705991118815574,0.8029520557290023,-0.5069178252370327,0.460280846105345,-0.4066049126418265,-0.8480812703157199
RWA,Sub-Saharan Africa,0.6496433800174379,0.6266609231877004,0.7263275857196938,0.10444026596852292,0.03387304869165832,0.5745568608262048
SDN,Sub-Saharan Africa,0.589376743994334,0.18705418155709988,-0.10633591044531585,-0.1450824082457814,-0.43982121123311224,0.09320848227707734
SEN,Sub-Saharan Africa,0.722555703324689,0.3336942879947944,0.09728211003209244,0.23826608927396578,-0.11180000742487223,-0.3838560410362641
SGP,East Asia & Pacific,0.5558896843178344,0.5395167360630236,-0.13723707791800305,0.052971204210529935,-0.23562760559873167,-0.6740967775182911
SYC,Sub-Saharan Africa,0.4135765928866623,0.5064996347632209,-0.09501754041973219,0.21835622506777572,-0.4180672212270186,-0.5884498691047962
TCD,Sub-Saharan Africa,0.30584521005376814,0.011135436722001433,0.2981120916236567,0.2404415669089526,-0.6019734530886671,-0.6240164360400443
TGO,Sub-Saharan Africa,0.39302570203980597,0.5489119728383061,-0.07045676333595544,-0.317612250840772,-0.20910558282221928,-0.4425335938501121
THA,East Asia & Pacific,0.7965931460392712,0.8948108306686507,-0.704397360349941,0.7955897444364275,-0.7754996129272098,-0.8874542041537672
TZA,Sub-Saharan Africa,0.12179907603564268,0.39860618752870064,-0.04581045467817374,0.4439133182908294,0.06044767455317851,-0.39088627234320283
UGA,Sub-Saharan Africa,0.5290398033013998,0.45360596239912415,-0.0464213748042657,0.23139091870412146,-0.5869744720171562,-0.3698691734276301
VEN,Latin America & Caribbean,0.5814304022492616,0.7766827851273921,-0.41356214973687283,0.4867625375624277,-0.686354076066221,-0.7493435053594437
ZAF,Sub-Saharan Africa,0.6571787657029314,0.8055579428642792,-0.49303772878096547,0.5836560240468687,-0.6694555760268651,-0.6491199612851404
ZWE,Sub-Saharan Africa,0.6729504160422245,0.4393595856937156,0.25641554167103475,0.05510116789478018,-0.22146756234093073,-0.13427521665846398
