Country Code,Region,sd_dlogY,sd_dlogC,sd_dlogI,sd_TB,sdC_over_sdY,sdI_over_sdY
ARG,Latin America & Caribbean,5.223131575465924,7.566572976060172,16.183170540992073,3.3678594705916733,1.4486659711200562,3.098365474269805
BDI,Sub-Saharan Africa,5.281823766342768,7.326443510934755,32.81771214611055,8.082172162761667,1.3871048779818944,6.213329637242732
BEN,Sub-Saharan Africa,2.9668506245627255,5.002212132353538,19.003831839525315,5.839010731899004,1.6860343729272846,6.405388826182048
BFA,Sub-Saharan Africa,2.868429032489956,6.493050391306234,15.13973759743533,5.297541086020328,2.2636259491732673,5.278058974425174
BRA,Latin America & Caribbean,3.6874656095332985,6.2723615661108445,11.806875747769116,2.315204446407697,1.7009952716290422,3.201894471163202
BWA,Sub-Saharan Africa,5.75499121454363,7.137430200090552,20.654972524443206,16.34982718989575,1.2402156552477985,3.589053702157761
CAF,Sub-Saharan Africa,7.225595787843771,9.649938934102625,26.93512259725686,4.964219521742233,1.3355215566220202,3.727737253524767
CHL,Latin America & Caribbean,4.568693810297578,6.114826652229365,23.642267457150425,4.165614129843037,1.3384190112383743,5.174841746641477
CIV,Sub-Saharan Africa,5.244737854926226,6.187443367428109,20.583173077013353,4.530437083907095,1.1797431136842098,3.9245380124537954
CMR,Sub-Saharan Africa,5.258842220083013,6.572923299107904,16.167322295968503,3.3431757606097534,1.2498803014105542,3.0743121050916975
COG,Sub-Saharan Africa,5.886012998710805,18.263506284047484,27.90383106222044,22.86159958138613,3.102865435065754,4.740701569692783
COL,Latin America & Caribbean,2.0024060999410436,2.7622074338675704,11.605569881230805,3.3177542335078796,1.3794441766577206,5.795812288812197
COM,Sub-Saharan Africa,3.2270250781725656,3.5305796640986156,6.123405967293365,1.3139362318671421,1.0940663857802897,1.8975390085164734
GAB,Sub-Saharan Africa,8.983501566683028,14.974373096969174,27.853073368593567,12.96884858293588,1.6668748801140523,3.100469584364723
GHA,Sub-Saharan Africa,4.419218762086963,6.508364842640411,20.16342654677116,7.008192190051737,1.4727410415787732,4.562667664193442
GIN,Sub-Saharan Africa,2.4366093317506032,11.263782978048676,25.729486112244,12.539372804743076,4.6227283263156975,10.559545092835389
GMB,Sub-Saharan Africa,3.6836688639064095,9.537981982926645,34.037433731185985,5.819338941876452,2.58926150403539,9.240090515381018
GNB,Sub-Saharan Africa,6.717106820113659,10.1736479539663,27.463510094754273,11.139826881772594,1.514587787036883,4.08859213203484
HKG,East Asia & Pacific,4.065992600180675,3.901514513889828,13.386071590474291,5.29700821772692,0.9595478638393148,3.2922026444119625
IDN,East Asia & Pacific,3.354481133698529,5.320356240962646,19.118312068987684,3.9934884044170844,1.5860444667627671,5.699335100420889
KEN,Sub-Saharan Africa,4.1442086894130785,6.488913464338308,15.76601126766238,4.852552951495631,1.5657786445250896,3.804347813839277
KOR,East Asia & Pacific,3.5621190306462034,3.941328442110131,13.075456801584592,5.9140235874054685,1.1064561313649126,3.670696203324956
MDG,Sub-Saharan Africa,3.9505255868076516,14.248005348411178,32.54756142405469,4.018397502536838,3.606610066263293,8.23879271475768
MEX,Latin America & Caribbean,3.263878050429201,3.5994554305084434,9.343211654438184,2.587365327507983,1.1028155387224452,2.862610523456766
MLI,Sub-Saharan Africa,4.701202199239029,6.50345199130448,14.562271477743902,5.420946568791582,1.3833593442028884,3.0975633169109504
MRT,Sub-Saharan Africa,5.409775673586654,15.03537612752327,38.72607163158106,12.611482785104561,2.77929752261888,7.158535578593755
MUS,Sub-Saharan Africa,5.1508187859833585,2.930669507036099,14.667908740799298,4.946189393713185,0.5689715807923916,2.8476848730757673
MYS,East Asia & Pacific,3.169852631745831,4.545118737324099,15.279524811661444,8.204502591085346,1.4338580575655422,4.820263459139449
NAM,Sub-Saharan Africa,3.290136727309629,11.440267043909587,22.259547225810305,9.238119751336397,3.4771403112065755,6.765538660155353
NER,Sub-Saharan Africa,5.569885237098701,6.067304616210113,37.344403991376666,4.773696886715422,1.0893051396819287,6.704699002169927
PER,Latin America & Caribbean,4.846834833523403,5.87785149775404,17.164331037713083,4.074234496351512,1.2127195787856342,3.5413484526014862
PHL,East Asia & Pacific,3.023046251233831,2.3582128267115507,15.323527445250962,3.4494285971321954,0.7800783152917578,5.068902746359502
RWA,Sub-Saharan Africa,11.062676207019821,7.384640925045094,22.119703559645053,8.219368334101734,0.6675275301250496,1.9994893772276363
SDN,Sub-Saharan Africa,5.3899308412336975,8.228714189984474,27.96338203298659,4.105691544153333,1.526682703799036,5.188078076821125
SEN,Sub-Saharan Africa,3.429496467573511,3.6252900677483333,12.847838613825157,4.806826651222463,1.0570910633750712,3.7462755058369996
SGP,East Asia & Pacific,3.9924064788352207,3.6255047160306635,13.829791717330716,15.89923752914362,0.9081000983367805,3.4640239641544563
SYC,Sub-Saharan Africa,5.871246280013772,19.258010483616626,26.715703071637993,17.594876081302193,3.280054960251378,4.550261017423259
TCD,Sub-Saharan Africa,7.678096246690462,14.160007753270401,27.676599048390827,16.04411216956559,1.8442081602420493,3.6046173633627534
TGO,Sub-Saharan Africa,5.519078821748496,10.661923700322125,40.6799919501978,6.720821508995682,1.9318303007936255,7.370793798032766
THA,East Asia & Pacific,3.1712177680647122,3.9454618020728693,14.913877017253272,5.922857253778681,1.2441472300657082,4.702886432915867
TZA,Sub-Saharan Africa,9.133590182425289,6.064606373348584,17.092920287164635,5.848227758194889,0.6639893242657203,1.8714349938816572
UGA,Sub-Saharan Africa,2.8132013951332824,5.8901239305130435,12.848401172384783,3.703887072293129,2.093744138156161,4.567181430597882
VEN,Latin America & Caribbean,5.100709210788371,9.734830274428466,28.4814478499033,8.00069163160901,1.9085248486305773,5.583821126219657
ZAF,Sub-Saharan Africa,2.4150402796208814,2.7569014020683817,10.702803940765786,3.0617440172463692,1.1415550396124932,4.431728957516989
ZWE,Sub-Saharan Africa,7.222632715532051,9.399706889492117,38.20246400909047,8.157972790212774,1.3014239072794516,5.289271310575884
